,GROUP,CONCEPT,NAME,NAME_USED,MAJOR_GROUP,TERR_GROUP,MAJOR_ORDER,SPECIES_NAME,NEW_GROUP,NEW_GROUP_2,bad_sp
12146,PlantBugs,no_match,Hoplomachus thunbergii,Hem_1731,INSECTS,TERR_INC,OTHER_INSECTS,Hoplomachus thunbergi,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_3858,Hypseloecus visci,Hem_3858,INSECTS,TERR_INC,OTHER_INSECTS,Hypseloecus visci,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1764,Ischnocoris angustulus,Hem_1764,INSECTS,TERR_INC,OTHER_INSECTS,Ischnocoris angustulus,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1766,Ischnodemus quadratus,Hem_1766,INSECTS,TERR_INC,OTHER_INSECTS,Ischnodemus quadratus,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1767,Ischnodemus sabuleti,Hem_1767,INSECTS,TERR_INC,OTHER_INSECTS,Ischnodemus sabuleti,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1785,Kalama tricornis,Hem_1785,INSECTS,TERR_INC,OTHER_INSECTS,Kalama tricornis,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_3860,Kleidocerys (f.?) privignus,Hem_3860,INSECTS,TERR_INC,OTHER_INSECTS,Kleidocerys (f.?) privignus,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,yes
12146,PlantBugs,no_match,Kleidocerys ericae,Hem_1796,INSECTS,TERR_INC,OTHER_INSECTS,Kleidocerys ericae,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1797,Kleidocerys resedae,Hem_1797,INSECTS,TERR_INC,OTHER_INSECTS,Kleidocerys resedae,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1798,Kleidocerys truncatulus,Hem_1796,INSECTS,TERR_INC,OTHER_INSECTS,Kleidocerys ericae,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1796,Kleidocerys truncatulus subsp. ericae,Hem_1796,INSECTS,TERR_INC,OTHER_INSECTS,Kleidocerys ericae,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1813,Lamproplax picea,Hem_1813,INSECTS,TERR_INC,OTHER_INSECTS,Lamproplax picea,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
